iter	Passed	Remaining
414	1862	2624
415	1864	2617
416	1866	2609
417	1870	2604
418	1872	2596
419	1874	2589
420	1877	2581
421	1879	2574
422	1882	2568
423	1885	2561
424	1887	2554
425	1890	2546
426	1892	2539
427	1895	2532
428	1898	2526
429	1901	2520
430	1903	2513
431	1906	2506
432	1908	2499
433	1911	2492
434	1913	2485
435	1915	2478
436	1918	2471
437	1920	2464
438	1923	2457
439	1927	2453
440	1930	2446
441	1932	2439
442	1934	2432
443	1936	2425
444	1940	2420
445	1943	2413
446	1945	2407
447	1948	2400
448	1950	2393
449	1952	2386
450	1955	2380
451	1957	2373
452	1960	2367
453	1963	2361
454	1965	2354
455	1967	2347
456	1970	2341
457	1973	2335
458	1975	2328
459	1978	2322
460	1980	2316
461	1983	2309
462	1986	2304
463	1989	2298
464	1991	2291
465	1994	2285
466	1997	2279
467	1999	2273
468	2001	2266
469	2004	2260
470	2007	2254
471	2009	2247
472	2011	2241
473	2014	2235
474	2016	2229
475	2019	2222
476	2021	2216
477	2024	2210
478	2027	2204
479	2029	2198
480	2032	2192
481	2034	2186
482	2036	2180
483	2039	2174
484	2041	2168
485	2046	2163
486	2049	2159
487	2053	2154
488	2055	2148
489	2058	2142
490	2060	2135
491	2062	2129
492	2065	2123
493	2068	2118
494	2070	2112
495	2073	2106
496	2075	2100
497	2077	2094
498	2080	2088
499	2083	2083
500	2085	2077
501	2088	2072
502	2091	2066
503	2093	2060
504	2095	2054
505	2098	2048
506	2101	2043
507	2104	2038
508	2106	2032
509	2109	2026
510	2111	2020
511	2114	2015
512	2116	2009
513	2119	2003
514	2121	1997
515	2124	1992
516	2126	1986
517	2129	1981
518	2131	1975
519	2133	1969
520	2136	1964
521	2138	1958
522	2140	1952
523	2143	1946
524	2146	1941
525	2148	1935
526	2152	1931
527	2156	1927
528	2162	1925
529	2165	1920
530	2168	1915
531	2171	1909
532	2173	1904
533	2176	1899
534	2178	1893
535	2181	1888
536	2183	1882
537	2185	1877
538	2188	1871
539	2193	1868
540	2195	1862
541	2197	1857
542	2200	1852
543	2202	1846
544	2205	1841
545	2208	1836
546	2211	1831
547	2213	1825
548	2216	1820
549	2218	1815
550	2220	1809
551	2224	1805
552	2226	1799
553	2229	1794
554	2231	1789
555	2236	1785
556	2239	1780
557	2241	1775
558	2244	1770
559	2246	1765
560	2249	1760
561	2251	1754
562	2254	1749
563	2256	1744
564	2260	1740
565	2262	1735
566	2265	1730
567	2268	1725
568	2271	1720
569	2273	1715
570	2276	1709
571	2278	1704
572	2281	1700
573	2284	1695
574	2288	1691
575	2290	1686
576	2293	1681
577	2295	1675
578	2297	1670
579	2300	1665
580	2303	1661
581	2305	1656
582	2308	1651
583	2312	1647
584	2314	1642
585	2317	1637
586	2319	1632
587	2321	1626
588	2324	1622
589	2327	1617
590	2329	1612
591	2332	1607
592	2334	1602
593	2337	1597
594	2341	1593
595	2344	1589
596	2347	1584
597	2350	1579
598	2352	1574
599	2354	1569
600	2356	1564
601	2360	1560
602	2363	1556
603	2367	1552
604	2370	1547
605	2372	1542
606	2374	1537
607	2377	1532
608	2379	1528
609	2383	1523
610	2385	1518
611	2387	1513
612	2390	1509
613	2392	1504
614	2395	1499
615	2398	1495
616	2400	1490
617	2402	1485
618	2405	1480
619	2407	1475
620	2410	1470
621	2412	1466
622	2415	1461
623	2418	1457
624	2421	1452
625	2424	1448
626	2427	1444
627	2429	1439
628	2432	1434
629	2435	1430
630	2438	1426
631	2441	1421
632	2444	1417
633	2447	1413
634	2450	1408
635	2453	1403
636	2456	1399
637	2459	1395
638	2461	1390
639	2464	1386
640	2466	1381
641	2468	1376
642	2471	1372
643	2474	1368
644	2477	1363
645	2479	1358
646	2481	1353
647	2483	1349
648	2487	1345
649	2491	1341
650	2493	1336
651	2496	1332
652	2498	1327
653	2502	1323
654	2506	1320
655	2510	1316
656	2514	1312
657	2518	1308
658	2521	1304
659	2525	1300
660	2529	1297
661	2533	1293
662	2535	1288
663	2538	1284
664	2540	1280
665	2543	1275
666	2545	1270
667	2548	1266
668	2551	1262
669	2554	1258
670	2556	1253
671	2558	1249
672	2561	1244
673	2563	1239
674	2566	1235
675	2569	1231
676	2572	1227
677	2576	1223
678	2579	1219
679	2581	1214
680	2583	1210
681	2587	1206
682	2589	1201
683	2592	1197
684	2595	1193
685	2597	1188
686	2600	1184
687	2602	1180
688	2605	1175
689	2608	1172
690	2611	1167
691	2613	1163
692	2616	1159
693	2618	1154
694	2621	1150
695	2623	1145
696	2626	1141
697	2628	1137
698	2631	1133
699	2635	1129
